Zeitstempel,Wie häufig nutzen sie Chat Bots ?,Wofür nutzen sie Chat-Bots im Hochschulalltag?,"Wie häufig prüfen Sie die Quellen, die die KI zur Erstellung einer Antwort genutzt hat?",Wie viel Zeit sparen sie sich durch die Nutzung von KI (Gefühlt)?,Bewerten sie inwiefern die Nutzung von KI ihnen im Hochschulalltag nutzt/nutze.,Wie oft korrigieren sie KI Antworten?,"Würden sie sagen, dass KI ihnen eine Große Hilfe ist, oder nur ihre Art des Lernens verändert und sonst nicht so relevant ist.",Begründen sie bitte warum sie sich in der vorherigen Frage für ja oder nein entschieden haben.,Wie oft sehen sie Inhalte die von KI erstellt sind?,"Wie oft ist markiert, dass der Inhalt KI generiert ist?",Wie empfinden sie KI Inhalte im Durchschnitt?,"Haben KI Inhalte sie schon in ihrem Hochschulalltag behindert/gestört, z.B. falsche Information verteilt, ohne ersichtlich zu machen woher diese kommen?","Haben KI Inhalte sie schon in ihrem Lebensalltag behindert/gestört, z.B. falsche Information verteilt, ohne ersichtlich zu machen woher diese kommen?","Wie oft schauen sie sich gewollt Video's online (YouTube, Instagram, Telegram, Facebook, TikTok, etc...) an?",Wie viel KI generierter Content wird ihnen vorgeschlagen?,Wie viel Content schauen sie sich davon auch an?,Welchem Geschlecht ordnen sie sich zu,Wie Alt sind Sie ? (Einfach Zahl eingeben),In welchem Fachbereich studieren sie,In welchem Fachsemester befinden sie sich?
25.11.2025 13:02:21,Kaum,Für gar nichts,Manchmal,Gar keine,Es ist manchmal nützlich,Manchmal,Unsicher,"Ich nutz es nicht zum Lernen",Manchmal,Nie,Sehr Nervig,Nicht bewusst,Ja,Häufig,21% - 40%,0%,Weiblich,19,Angewandte Informatik,1 Fachsemester
25.11.2025 13:01:04,Häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Häufig,Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie", ,Oft,Selten,Kommt auf den Inhalt darauf an,Ja,Ja,Oft,1% - 20%,1% - 20%,Männlich,20,Angewandte Informatik,1 Fachsemester
25.11.2025 13:12:39,Häufig,"Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Häufig,Gar keine,Es ist manchmal nützlich,Manchmal,"Nein, ist sie nicht ",ich vertraue KI eben nicht zu 100%,Oft,Selten,Sehr Nervig,Nicht bewusst,Nein,Häufig,21% - 40%,1% - 20%,Weiblich,20,Angewandte Informatik,1 Fachsemester
25.11.2025 16:26:49,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Sehr Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie","KI ermöglicht es mir, so oft und viele Fragen wie ich möchte zu einem Punkt stellen zu können, ohne, dass es mir peinlich wird",Sehr Oft,Manchmal,Sehr Nervig,Ja,Ja,Häufig,21% - 40%,1% - 20%,Weiblich,21,Angewandte Informatik,1 Fachsemester
25.11.2025 12:56:26,Moderat,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Häufig,Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","Ja, weil ich denke, dass es eine große Hilfe ist, weil es manche Dinge individueller erklären kann Aber ich versteh bei ja oder nein, die oder frage nicht. ",Oft,Selten,Manchmal Nervig,Nicht bewusst,Ja,Selten,21% - 40%,41% - 60%,Weiblich,21,Angewandte Informatik,5 Fachsemester
25.11.2025 13:09:23,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Ich kann Konzepte schneller erstellen und MVPs schneller umsetzen um Projektideen zu validieren. ,Oft,Manchmal,Manchmal Nervig,Ja,Ja,Häufig,21% - 40%,1% - 20%,Männlich,21,Angewandte Informatik,5 Fachsemester
25.11.2025 13:59:10,Kaum,"Für das zusammenfassen von Seminaren, Dokumente",Häufig,Moderat,Es ist ausgewogen,Manchmal,Unsicher,.,Sehr Oft,Selten,Sehr Nervig,Nicht bewusst,Ja,Manchmal,1% - 20%,0%,Weiblich,21,Gesundheitswissenschaften (früher PG),5 Fachsemester
25.11.2025 13:00:20,Häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Weil es so ist ,Oft,Selten,Kommt auf den Inhalt darauf an,Nicht bewusst,Nein,Manchmal,21% - 40%,1% - 20%,Männlich,22,Angewandte Informatik,1 Fachsemester
25.11.2025 12:51:26,Moderat,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Manchmal,Moderat,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","KI hilft mir im Alltag viel. Es ist eine schnelle Möglichkeit, fragen zu beantworten, neutrale Meinungen zu bekommen und mir Themen beizubringen, bei denen sich andere während dem Erklären die Haare ausreißen würden. Ich konnte in den letzten Jahren auch gut erleben, wie sich die Antworten von KI in Genauigkeit und Aktualität verbessert haben.",Oft,Manchmal,Kommt auf den Inhalt darauf an,Nein,Nein,Häufig,1% - 20%,21% - 40%,Männlich,22,Angewandte Informatik,5 Fachsemester
25.11.2025 13:16:26,Moderat,"Fürs Lernen (Fragen über Lerninhalte stellen), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Manchmal,Moderat,Es hilft eher als es schadet,Oft,Unsicher,"Manchmal hilfreich, manchmal nicht. Sehr Themenabhängig",Oft,Manchmal,Manchmal Nervig,Nein,Nein,Häufig,21% - 40%,1% - 20%,Männlich,22,Angewandte Informatik,5 Fachsemester
25.11.2025 12:43:18,Moderat,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen)",Immer,Moderat,Es ist ausgewogen,Immer,"Nein, ist sie nicht ",jedes mal wenn ich eher technischer mit den fragen werde muss ich die KI nach fast jeder frage korrigieren weil es schlüsse gezogen welche im umfang der frage keinen wert haben,Manchmal,Selten,Sehr Nervig,Ja,Ja,Häufig,1% - 20%,0%,Männlich,22,Angewandte Informatik,7 Fachsemester
25.11.2025 13:39:32,Häufig,"Fürs Lernen (Fragen über Lerninhalte stellen), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen, Formulierungsschwierigkeiten",Selten,Viel,Es ist ausgewogen,Oft,Unsicher,"KI ist für mich in der Prüfungsvorbereitung beim zusammenfassen von Texten bzw. Folien eine große Hilfe. Bei komplexeren Zusammenhängen verunsichert mich die Nutzung dieser Hilfsmittel jedoch teilweise extrem und vergrößert den Lernaufwand. Es verändert und beschleunigt in einigen Aspekten den Lernaufwand, jedoch nicht in allen.",Oft,Manchmal,Manchmal Nervig,Nein,Nein,Häufig,1% - 20%,41% - 60%,Weiblich,23,Angewandte Informatik,5 Fachsemester
25.11.2025 12:42:36,Moderat,"Für Textkorrektur, Für das Vorbereiten auf Klausuren/Prüfungen",Selten,Viel,Es hilft eher als es schadet,Oft,"Nein, ist sie nicht ",Llms sind ganz cool fürs lernen aber googlen ist bei den meisten Fragen die bessere Lösung um schnelle Antworten zu erhalten,Oft,Selten,Kommt auf den Inhalt darauf an,Ja,Nein,Häufig,21% - 40%,1% - 20%,Männlich,23,Angewandte Informatik,9 - 12 Fachsemester
25.11.2025 14:14:17,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Selten,Sehr Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",macht alles schneller,Oft,Selten,Sehr Nervig,Nicht bewusst,Ja,Selten,21% - 40%,1% - 20%,Weiblich,23,Gesundheitswissenschaften (früher PG),5 Fachsemester
25.11.2025 13:57:23,Moderat,"Für das Vorbereiten auf Klausuren/Prüfungen, Übersichten erstellen, Aufgaben bearbeiten ",Selten,Moderat,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","weil es für manche Aufgaben einfach unglaublich nützlich ist. Z. B. für unwichtigere Abgaben, zum Formulieren auf Fremdsprachen, zum Formulieren von Mails ggf. ",Manchmal,Selten,Kommt auf den Inhalt darauf an,Ja,Nein,Häufig,0%,0%,Männlich,23,Gesundheitswissenschaften (früher PG),7 Fachsemester
25.11.2025 12:46:00,Häufig,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente",Immer,Viel,Es hilft eher als es schadet,selten,"Ja, ist sie","Ja, da durch die KI komplexere Themen einfacher erklärt werden und so die Art des Lernens effizienter gestaltet werden kann. ",Manchmal,Selten,Kommt auf den Inhalt darauf an,Nicht bewusst,Ja,Häufig,1% - 20%,0%,Weiblich,23,Oecotrophologie,7 Fachsemester
25.11.2025 15:48:12,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen, Ausformulieren, Ideengenerierung",Manchmal,Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","Aufgaben für die man sonst lange recherchieren muss insbesondere bei fehlenden Wissen fürs coden, werden schneller gelöst ",Sehr Oft,Selten,Manchmal Nervig,Ja,Ja,Oft,1% - 20%,1% - 20%,Männlich,24,Angewandte Informatik,3 Fachsemester
25.11.2025 13:52:00,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen",Häufig,Viel,Es hilft eher als es schadet,Oft,Unsicher,.,Sehr Oft,Oft,Kommt auf den Inhalt darauf an,Nicht bewusst,Ja,Oft,21% - 40%,1% - 20%,Männlich,25,Angewandte Informatik,4 Fachsemester
25.11.2025 12:43:15,Moderat,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen), Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Selten,Viel,Es hilft eher als es schadet,Manchmal,Unsicher,Unsicher,Sehr Oft,Selten,Sehr Nervig,Nicht bewusst,Nein,Oft,41% - 60%,1% - 20%,Weiblich,25,Angewandte Informatik,7 Fachsemester
25.11.2025 12:47:31,Häufig,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Manchmal,Sehr Viel,Es hilft eher als es schadet,Manchmal,"Ja, ist sie","Es bietet einen oft zuverlässigen Filter, um gezielt wichtige Informationen zu finden und manchmal sogar zusätzliche nützliche Informationen ergänzt oder sonst hilfreiche Hinweise liefert. So erfolgt das Lernen meist zielgerichteter.",Oft,Manchmal,Manchmal Nervig,Nicht bewusst,Ja,Oft,21% - 40%,21% - 40%,Männlich,25,Angewandte Informatik,7 Fachsemester
25.11.2025 13:47:31,Kaum,Für Textkorrektur,Immer,Wenig,Es hilft eher als es schadet,selten,"Nein, ist sie nicht ","weil meine funktionierende Lebenstrategie Videos, Reden und Wiederholung beinhaltet. ",Oft,Selten,Kommt auf den Inhalt darauf an,Nicht bewusst,Ja,Häufig,1% - 20%,1% - 20%,Divers,25,Gesundheitswissenschaften (früher PG),9 - 12 Fachsemester
25.11.2025 13:13:59,Kaum,"Für das zusammenfassen von Seminaren, Dokumente",Häufig,Viel,Es ist manchmal nützlich,Oft,"Nein, ist sie nicht ",KI hat große Schwierigkeiten wissenschaftliche Texte und die darin gegebenen Zusammenhänge zu erfassen. Für Zusammenfassungen allerdings nützlich. KI scheitert an Aufgaben zur deutschen Grammatik.,Oft,Selten,Manchmal Nervig,Nein,Nein,Oft,1% - 20%,0%,Männlich,25,Sozial & Kulturwissenschaften,9 - 12 Fachsemester
25.11.2025 13:04:12,Kaum,Für gar nichts,Selten,Viel,Es ist manchmal nützlich,Oft,"Nein, ist sie nicht ",Man lernt nichts wirklich bzw der Gebrauch zum lernen muss erst gelernt werden ,Manchmal,Manchmal,Sehr Nervig,Nicht bewusst,Ja,Oft,21% - 40%,0%,Männlich,26,Angewandte Informatik,3 Fachsemester
25.11.2025 15:26:07,Sehr häufig,"Für Textkorrektur, Fürs Lernen (Fragen über Lerninhalte stellen)",Manchmal,Sehr Viel,Es ist manchmal nützlich,Oft,"Ja, ist sie",Bestimmte Themen werden von Profs nicht umfangreich erklärt um eigen Portfolioabgaben zu verwirklichen.,Sehr Oft,Selten,Sehr Nervig,Nicht bewusst,Ja,Manchmal,41% - 60%,0%,Männlich,26,Angewandte Informatik,5 Fachsemester
25.11.2025 15:42:07,Moderat,Für Textkorrektur,Häufig,Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Erleichtert vieles ,Oft,Selten,Kommt auf den Inhalt darauf an,Nein,Nein,Häufig,1% - 20%,0%,Weiblich,26,Gesundheitswissenschaften (früher PG),5 Fachsemester
25.11.2025 15:12:22,Häufig,"Für Textkorrektur, Unterstützung für die Bachelorarbeit (z.B. Umformulieren, Erstellen des Textes für Rundmail)",Manchmal,Moderat,Es hilft eher als es schadet,Oft,Unsicher,"Je nach Anwendungsgebiet kann es als Unterstützung dienen, aber man muss trotzdem noch den Großteil selbst erledigen.",Manchmal,Selten,Manchmal Nervig,Nein,Nein,Häufig,21% - 40%,0%,Weiblich,26,Gesundheitswissenschaften (früher PG),7 Fachsemester
25.11.2025 18:03:38,Häufig,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben)",Immer,Moderat,Es ist ausgewogen,Manchmal,Unsicher,"Die Auswahlmöglichkeiten sind nicht gleichzusetzen (große Hilfe oder nur Veränderung der Art des Lernens). Die Frage ist also ungenau gestellt und schwierig zu beantworten.  Es ist eine Hilfe und durch die Kontrolle verändert es auch minimal die Art des Lernens, trotzdem ist es kein Ersatz für das konventionelle Lernen, obwohl man es aktiv als Lernmethode nutzen kann. ",Oft,Manchmal,Kommt auf den Inhalt darauf an,Nicht bewusst,Ja,Häufig,21% - 40%,1% - 20%,Männlich,26,Gesundheitswissenschaften (früher PG),9 - 12 Fachsemester
25.11.2025 17:55:06,Häufig,"Für Textkorrektur, Fürs Korrigieren (Korrigieren von Lernstoffen, Abgaben), Für das zusammenfassen von Seminaren, Dokumente, Für das Vorbereiten auf Klausuren/Prüfungen, Projekt, Google Ersatz, schneller arbeiten",Manchmal,Sehr Viel,Es hilft eher als es schadet,Oft,"Ja, ist sie",Ich schaffe es damit Stoff schneller zu verarbeiten und Fertige Ergebnisse zu erstellen ,Oft,Nie,Kommt auf den Inhalt darauf an,Ja,Ja,Häufig,21% - 40%,21% - 40%,Männlich,29,Sozialwesen,7 Fachsemester